id,category,occasionSlug,sourceKey,bucket,reason,shape,extractOk,extractWhy,gate1Hit,entryType,arabicEmpty,translationEmpty,transliterationEmpty,instructionInTranslation,arabicFrameHit,quranNarrativeSubclause
1:1,supplications for when you wake up,sleep-waking,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
1:2,supplications for when you wake up,sleep-waking,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
1:3,supplications for when you wake up,sleep-waking,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
1:4,supplications for when you wake up,sleep-waking,other,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
10:16,What to say when leaving the home,home-clothing,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
10:17,What to say when leaving the home,home-clothing,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
100:211,The traveler's invocation for the one he leaves behind,travel,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
101:212,The resident's invocations for the traveler,travel,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
101:213,The resident's invocations for the traveler,travel,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
103:215,The traveler's invocation at dawn,travel,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
104:216,Invocation for a layover (stopping along the way) on the journey,travel,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
11:18,What to say when entering the home,home-clothing,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
114:232,What a Muslim should say when he is praised,forgiveness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
117:235,Invocation to be recited between the Yemenite Corner and the Black Stone,hajj-umrah,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
12:19,Invocation for going to the mosque,prayer,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
122:240,What to say when surprised or startled,distress,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
122:241,What to say when surprised or startled,distress,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
