id,category,occasionSlug,sourceKey,bucket,reason,shape,extractOk,extractWhy,gate1Hit,entryType,arabicEmpty,translationEmpty,transliterationEmpty,instructionInTranslation,arabicFrameHit,quranNarrativeSubclause
124:243,What to say when you feel a pain in your body,funeral-illness,hisn,NOT_BUILDABLE,"translation opens with an instruction, not the dua",none,no,no extraction shape applies to this record,,,,,yes,yes,,
130:254,The excellence of remembering Allah,praise-dhikr,hisn,NOT_BUILDABLE,"narrator's frame in Arabic, no extraction shape applies — 'the Messenger of Allah said', opens with a reporting verb 'X said'",none,no,no extraction shape applies to this record,,,,,yes,,"'the Messenger of Allah said', opens with a reporting verb 'X said'",
132:267,Types of goodness and good etiquette for community life,social,hisn,NOT_BUILDABLE,empty field: arabic — no dua text at all,none,,,,,yes,,yes,,,
15:26,What to say upon hearing the Athan (call to prayer),prayer,hisn,NOT_BUILDABLE,"translation opens with an instruction, not the dua",none,no,no extraction shape applies to this record,,,,,yes,yes,,
25:70,What to say after completing the prayer,prayer,other,NOT_BUILDABLE,"translation opens with an instruction, not the dua",prefix-trim,no,no removable prefix found,,,,,,yes,,
25:71,What to say after completing the prayer,prayer,other,NOT_BUILDABLE,"translation opens with an instruction, not the dua",none,no,no extraction shape applies to this record,,,,,,yes,,
31:114,What to do if you have a bad dream or nightmare,sleep-waking,hisn,NOT_BUILDABLE,"translation opens with an instruction, not the dua",none,no,no extraction shape applies to this record,,,,,yes,yes,,
31:115,What to do if you have a bad dream or nightmare,sleep-waking,hisn,NOT_BUILDABLE,"translation opens with an instruction, not the dua",none,no,no extraction shape applies to this record,,,,,yes,yes,,
40:134,Invocations for if you are stricken by in your faith,protection,hisn,NOT_BUILDABLE,"translation opens with an instruction, not the dua",none,no,no extraction shape applies to this record,,,,,,yes,,
40:135,Invocations for if you are stricken by in your faith,protection,hisn,NOT_BUILDABLE,"translation opens with an instruction, not the dua",none,no,no extraction shape applies to this record,,,,,,yes,,
ibnmajah:3590,Supplication (Kitab al-Du'a),forgiveness,ibnmajah,NOT_BUILDABLE,Gate 1 route-out (not a dua to recite),classb-isnad,yes,,yes,,,,yes,,"isnad verb (حدثنا / أخبرنا), 'the Messenger of Allah said'",
nasai:5477,Seeking Refuge with Allah (Kitab al-Isti'adha),protection,nasai,NOT_BUILDABLE,"narrator's frame in Arabic, no extraction shape applies — isnad verb (حدثنا / أخبرنا)",none,no,no extraction shape applies to this record,,,,,yes,,isnad verb (حدثنا / أخبرنا),
nasai:5499,Seeking Refuge with Allah (Kitab al-Isti'adha),protection,nasai,NOT_BUILDABLE,"narrator's frame in Arabic, no extraction shape applies — isnad verb (حدثنا / أخبرنا), 'I heard the Messenger…'",none,no,no extraction shape applies to this record,,,,,yes,,"isnad verb (حدثنا / أخبرنا), 'I heard the Messenger…'",
nasai:5532,Seeking Refuge with Allah (Kitab al-Isti'adha),protection,nasai,NOT_BUILDABLE,"narrator's frame in Arabic, no extraction shape applies — isnad verb (حدثنا / أخبرنا)",none,no,no extraction shape applies to this record,,,,,yes,,isnad verb (حدثنا / أخبرنا),
nasai:5534,Seeking Refuge with Allah (Kitab al-Isti'adha),protection,nasai,NOT_BUILDABLE,"narrator's frame in Arabic, no extraction shape applies — isnad verb (حدثنا / أخبرنا)",none,no,no extraction shape applies to this record,,,,,yes,,isnad verb (حدثنا / أخبرنا),
nasai:5541,Seeking Refuge with Allah (Kitab al-Isti'adha),protection,nasai,NOT_BUILDABLE,"narrator's frame in Arabic, no extraction shape applies — isnad verb (حدثنا / أخبرنا)",none,no,no extraction shape applies to this record,,,,,yes,,isnad verb (حدثنا / أخبرنا),
quran:14:44,Qur'anic supplications,general,quran,NOT_BUILDABLE,Gate 1 route-out (not a dua to recite),quran-clause,yes,,yes,,,,yes,,,
quran:15:36,Qur'anic supplications,general,quran,NOT_BUILDABLE,Gate 1 route-out (not a dua to recite),quran-clause,yes,,yes,,,,yes,,,
quran:15:39,Qur'anic supplications,general,quran,NOT_BUILDABLE,Gate 1 route-out (not a dua to recite),quran-clause,yes,,yes,,,,yes,,,
