id,category,occasionSlug,sourceKey,bucket,reason,shape,extractOk,extractWhy,gate1Hit,entryType,arabicEmpty,translationEmpty,transliterationEmpty,instructionInTranslation,arabicFrameHit,quranNarrativeSubclause
102:214,Glorifying and magnifying Allah on the journey,travel,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,"opens with a reporting verb 'X said', companion honorific — narration apparatus",
105:217,What to say upon returning from a Journey,travel,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
106:218,What to say if something happens to please you or to displease you,praise-dhikr,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,"'The Prophet was…' — narrative past, 'he/it was…' — narrative past",
108:225,spreading the greetings of Salam (Peace),social,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
109:227,How to reply to a disbeliever if he says Salam to you,social,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
110:228,Invocation upon hearing the cock's crow or the bray of a donkey,protection,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
111:229,Invocation upon hearing a dog barking in the night,protection,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
112:230,Invocation for someone you have spoken ill to,social,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,,,"'the Messenger of Allah said', opens with a reporting verb 'X said'",
113:231,How a Muslim should praise another Muslim,social,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,"'the Messenger of Allah said', opens with a reporting verb 'X said'",
115:233,The pilgrim's announcement of his arrival for Hajj or Umrah,hajj-umrah,other,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
116:234,Saying Allahu Akbar when passing the Black Stone,hajj-umrah,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
118:236,Invocation to be recited while standing at Safa and Marwah,hajj-umrah,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,narrative verb opening,
119:237,Invocation to be recited on the Day of Arafat,hajj-umrah,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,"'the Messenger of Allah said', opens with a reporting verb 'X said'",
125:244,What to say when you fear you may afflict something with the evil eye,protection,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
129:249,Repentance and seeking forgiveness,forgiveness,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,'the Messenger of Allah said',
129:250,Repentance and seeking forgiveness,forgiveness,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,'the Messenger of Allah said',
129:251,Repentance and seeking forgiveness,forgiveness,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,'the Messenger of Allah said',
129:252,Repentance and seeking forgiveness,forgiveness,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,'the Messenger of Allah said',
13:20,Invocation for entering the mosque,prayer,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,,,,
130:255,The excellence of remembering Allah,praise-dhikr,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,'the Messenger of Allah said',
130:256,The excellence of remembering Allah,praise-dhikr,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,'the Messenger of Allah said',
130:257,The excellence of remembering Allah,praise-dhikr,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,'the Messenger of Allah said',
